yyyy,mm,tmax_degC,tmin_degC,af_days,rain_mm,sun_hours,Date,quartal
1984,2,4.7,-0.6,14,108.5,52.9,Feb-84,1
1984,3,6,0.6,11,87.4,60.3,Mar-84,1
1984,4,11.8,0.5,15,37.5,183.6,Apr-84,2
1984,5,14.9,2.3,8,4.1,218.4,May-84,2
1984,6,17,7.4,1,55.3,167.9,Jun-84,2
1984,7,20.4,8.6,0,28.8,211,Jul-84,3
1984,8,20.1,8.7,0,42.4,173.8,Aug-84,3
1984,9,13.9,7.1,1,109.5,81,Sep-84,3
1984,10,11.9,5.1,3,232.3,64.1,Oct-84,4
1984,11,7.9,4,3,242.1,24.4,Nov-84,4
1984,12,6.1,0.9,9,159.2,24.8,Dec-84,4
1985,1,2.2,-3.1,24,78.2,60.1,Jan-85,1
1985,2,4,-2.2,17,37.1,63.6,Feb-85,1
1985,3,5.9,-1.2,16,123,103.4,Mar-85,1
1985,4,9.3,2.8,3,129.2,108.9,Apr-85,2
1985,5,13,4.3,2,86,158.4,May-85,2
1985,6,14.4,5.6,2,83.4,152.9,Jun-85,2
1985,7,16.4,9.4,0,203.6,104.9,Jul-85,3
1985,8,14.7,8.9,0,345.4,90.9,Aug-85,3
1985,9,14.8,7.3,1,273.4,80,Sep-85,3
1985,10,12,4.8,2,119,77.1,Oct-85,4
1985,11,4.7,-2.2,20,124.3,70.9,Nov-85,4
1985,12,6.3,1.3,10,270.6,26.1,Dec-85,4
1986,1,3.6,-2,18,213.3,44.4,Jan-86,1
1986,2,0.8,-4.7,25,19.3,80.2,Feb-86,1
1986,3,6.5,-0.3,12,187.9,92.6,Mar-86,1
1986,4,7.2,-0.1,12,93.7,96.3,Apr-86,2
1986,5,12.1,4.7,2,257.5,116.6,May-86,2
1986,6,17,7.2,1,100.5,192.6,Jun-86,2
1986,7,16.1,8.9,0,103.2,114.8,Jul-86,3
1986,8,14.8,6.4,1,166.6,109.6,Aug-86,3
1986,9,13.9,4.1,9,29.1,140.9,Sep-86,3
1986,10,11.5,4.5,1,193.1,86.3,Oct-86,4
1986,11,8.4,2.4,9,266.8,41.6,Nov-86,4
1986,12,5.9,0.8,14,331,29.4,Dec-86,4
1987,1,2.2,-3.9,25,84.7,51,Jan-87,1
1987,2,5.5,-1.9,21,84.6,62.6,Feb-87,1
1987,3,5.5,-1.3,19,173,97.3,Mar-87,1
1987,4,11.5,2.7,5,83.7,130.2,Apr-87,2
1987,5,12.6,2.9,7,68.2,183.5,May-87,2
1987,6,13.8,6.4,1,119.7,84.3,Jun-87,2
1987,7,17.6,9.3,0,114.4,154.3,Jul-87,3
1987,8,16.7,9,0,162.2,122.5,Aug-87,3
1987,9,14.2,6.2,2,142.4,122.6,Sep-87,3
1987,10,10.1,3.3,8,184.5,67.3,Oct-87,4
1987,11,7,1.9,7,123,60.6,Nov-87,4
1987,12,6.2,0.9,12,184.3,30.4,Dec-87,4
1988,1,5.1,0.6,11,223.9,22.8,Jan-88,1
1988,2,5.6,0.4,10,146.8,73.7,Feb-88,1
1988,3,7,0.6,13,133.5,71.7,Mar-88,1
1988,4,9.7,1.7,11,97.4,89.2,Apr-88,2
1988,5,14.1,4.1,3,68.7,171,May-88,2
1988,6,17.8,7.7,0,22.2,204.5,Jun-88,2
1988,7,15.1,9.4,0,268.9,92.3,Jul-88,3
1988,8,16.3,8.9,0,185.3,131.2,Aug-88,3
1988,9,14,6.6,2,174.6,104.7,Sep-88,3
1988,10,11.2,4.9,6,174.3,81.4,Oct-88,4
1988,11,7.1,-0.2,18,120.2,82.6,Nov-88,4
1988,12,8.1,2.8,7,130.5,37.6,Dec-88,4
1989,1,7.5,2.6,7,181.8,24.9,Jan-89,1
1989,2,6.3,1,10,217.4,47.4,Feb-89,1
1989,3,8,0.7,10,281.7,91.4,Mar-89,1
1989,4,8.2,0.6,15,68.7,129.7,Apr-89,2
1989,5,14.9,4.2,4,47.1,191,May-89,2
1989,6,16.8,6.5,2,87.5,184.7,Jun-89,2
1989,7,21.5,8.9,0,44.8,266.2,Jul-89,3
1989,8,16.8,9.5,0,217.7,131.8,Aug-89,3
1989,9,14.4,6.4,2,104.1,76.1,Sep-89,3
1989,10,12.4,5.8,2,144.8,67,Oct-89,4
1989,11,7.5,1.6,9,60.7,66.2,Nov-89,4
1989,12,4.8,-0.9,19,114.5,40.3,Dec-89,4
1990,1,6.7,2,4,368.7,18.2,Jan-90,1
1990,2,6.5,2.5,7,344.7,43.7,Feb-90,1
1990,3,8.8,2.9,5,131.2,73,Mar-90,1
1990,4,10.3,1.2,10,77,153.9,Apr-90,2
1990,5,15.4,4.9,2,70.4,190.4,May-90,2
1990,6,15.3,7,0,150.8,127.5,Jun-90,2
1990,7,18.5,8.9,0,90.1,220,Jul-90,3
1990,8,18,10.2,0,98.8,114.3,Aug-90,3
1990,9,13.8,5.5,0,83.6,92.3,Sep-90,3
1990,10,11.9,6.1,2,246.8,48.9,Oct-90,4
1990,11,7.1,1.8,10,67.9,59,Nov-90,4
1990,12,4.8,-0.9,20,245.2,28.7,Dec-90,4
1991,1,3.3,-1.8,22,191.2,35.8,Jan-91,1
1991,2,3.4,-2.4,21,148.7,64,Feb-91,1
1991,3,8.7,2.2,10,169.8,62.9,Mar-91,1
1991,4,9.3,1.8,9,150.5,146.3,Apr-91,2
1991,5,13.5,4.7,6,18.1,132,May-91,2
1991,6,13.6,5.5,2,109,120,Jun-91,2
1991,7,19,11.1,0,86.3,134.9,Jul-91,3
1991,8,17.8,10,0,65.4,131.4,Aug-91,3
1991,9,15.8,6.3,1,103,148.8,Sep-91,3
1991,10,10.6,4.7,4,190.5,58.2,Oct-91,4
1991,11,7.1,1.5,11,230.6,48.3,Nov-91,4
1991,12,5.6,-0.9,15,184,37.5,Dec-91,4
1992,1,5.5,-1.5,18,148.1,63.1,Jan-92,1
1992,2,6.5,0.3,12,175.8,39.8,Feb-92,1
1992,3,7.6,1.9,5,253.7,72.4,Mar-92,1
1992,4,9.1,2.7,4,154.9,81.2,Apr-92,2
1992,5,15.8,5.8,2,83.4,205.9,May-92,2
1992,6,18.4,8.1,0,13.2,175.2,Jun-92,2
1992,7,16.5,9.1,0,111.2,111.9,Jul-92,3
1992,8,15.6,8.5,1,290.1,138.8,Aug-92,3
1992,9,14.1,7.7,0,192.4,100.9,Sep-92,3
1992,10,8.4,1.3,12,108.1,67.2,Oct-92,4
1992,11,7.4,0.7,13,264.2,34.2,Nov-92,4
1992,12,4.2,-1.2,16,162.7,32.3,Dec-92,4
1993,1,5.9,0.3,12,300.9,21.6,Jan-93,1
1993,2,6.7,1.4,8,29.8,34.1,Feb-93,1
1993,3,7.6,0.6,14,108.8,100.1,Mar-93,1
1993,4,10.1,3.2,5,170.8,87.7,Apr-93,2
1993,5,12.3,4.6,3,176.9,103.9,May-93,2
1993,6,16.1,8.3,0,71.1,116.7,Jun-93,2
1993,7,15.6,9,0,131.3,113,Jul-93,3
1993,8,15.8,6.9,0,50.3,127.7,Aug-93,3
1993,9,13.7,5.7,4,129.4,88.6,Sep-93,3
1993,10,9.2,1.9,11,63.7,93.1,Oct-93,4
1993,11,5.5,-0.9,20,85.8,60.1,Nov-93,4
1993,12,4.4,-0.8,18,351,37.3,Dec-93,4
1994,1,4.8,0,14,227.1,36.2,Jan-94,1
1994,2,3.2,-1.7,18,114.4,49.5,Feb-94,1
1994,3,6.9,1.4,7,262.2,71.8,Mar-94,1
1994,4,8.6,1.7,8,128.9,116.4,Apr-94,2
1994,5,12.4,3.3,5,44,176.2,May-94,2
1994,6,14.8,7.6,0,107.3,134.4,Jun-94,2
1994,7,18.6,9.5,0,113.6,153.5,Jul-94,3
1994,8,15.8,8.6,0,140.5,90.9,Aug-94,3
1994,9,13.6,6,1,69,89,Sep-94,3
1994,10,11.3,3.6,5,88.1,70.4,Oct-94,4
1994,11,9.8,4.8,3,223.7,21.4,Nov-94,4
1994,12,6.4,1.2,10,317.7,30.8,Dec-94,4
1995,1,4.6,-1.5,17,258.1,45.1,Jan-95,1
1995,2,6.2,0.6,10,221.3,44.9,Feb-95,1
1995,3,5.4,-1.1,20,173.4,85.1,Mar-95,1
1995,4,10.6,2.1,12,45.4,142.1,Apr-95,2
1995,5,13.7,4.2,6,93,171.9,May-95,2
1995,6,17.6,7.3,0,52.2,227.8,Jun-95,2
1995,7,19.6,10,0,103.7,170.4,Jul-95,3
1995,8,21.5,9.7,0,24.3,246.8,Aug-95,3
1995,9,15.4,6.9,1,117.7,110.5,Sep-95,3
1995,10,13.7,7.3,1,335.1,57.8,Oct-95,4
1995,11,8.8,2.4,11,103.6,55.1,Nov-95,4
1995,12,3,-3,18,54.8,56,Dec-95,4
1996,1,4.7,2,6,118.4,8.6,Jan-96,1
1996,2,4,-2.1,20,200.7,71.1,Feb-96,1
1996,3,5.1,-0.1,12,45.4,57.2,Mar-96,1
1996,4,9.1,2.7,8,147.2,59.5,Apr-96,2
1996,5,10.9,2.5,8,87.6,144.8,May-96,2
1996,6,16.2,6.9,0,85.6,199.5,Jun-96,2
1996,7,17.9,8.5,0,85.1,173.1,Jul-96,3
1996,8,18.6,9.8,0,50.1,155.1,Aug-96,3
1996,9,15.5,7.3,0,78.5,141.9,Sep-96,3
1996,10,12.3,5.4,2,326,69.3,Oct-96,4
1996,11,5.9,-0.6,18,190.9,70.7,Nov-96,4
1996,12,3.4,-1.3,19,130,37,Dec-96,4
1997,1,3.6,-1.2,25,38.4,23.7,Jan-97,1
1997,2,6.7,1.1,8,401.6,47.5,Feb-97,1
1997,3,9.1,2.2,8,138.7,86.8,Mar-97,1
1997,4,11.1,2.5,7,60.4,92.9,Apr-97,2
1997,5,13.4,4,6,132.3,170.3,May-97,2
1997,6,15.2,7.5,0,139.7,115.6,Jun-97,2
1997,7,19.3,9.2,0,113.8,178.5,Jul-97,3
1997,8,20,11.3,0,75.9,153.5,Aug-97,3
1997,9,15.3,6.8,0,142.9,141.6,Sep-97,3
1997,10,11.5,3.7,8,89.8,103.3,Oct-97,4
1997,11,9.1,4,3,139.8,29.5,Nov-97,4
1997,12,6.5,1.2,9,229.7,23.3,Dec-97,4
1998,1,5.6,0,15,158,34.2,Jan-98,1
1998,2,8,3.6,5,132.9,29.1,Feb-98,1
1998,3,8.8,1.9,10,153.3,62.1,Mar-98,1
1998,4,9,2.1,8,132.1,116.8,Apr-98,2
1998,5,15.2,6,1,75.2,166.2,May-98,2
1998,6,14.5,7.4,2,185.3,107.4,Jun-98,2
1998,7,16.1,9.6,0,183.7,100.5,Jul-98,3
1998,8,16.9,9.2,1,154.6,127.1,Aug-98,3
1998,9,15.9,8.6,0,120,103.2,Sep-98,3
1998,10,10.8,3.9,6,276.1,96.3,Oct-98,4
1998,11,7,0.9,12,204.5,54.9,Nov-98,4
1998,12,6.4,0.7,10,184.1,36.3,Dec-98,4
1999,1,5.5,0.2,11,291.3,33.2,Jan-99,1
1999,2,5.8,0.8,12,119.5,80.6,Feb-99,1
1999,3,7.9,1.4,10,133.1,86.9,Mar-99,1
1999,4,11.1,2.9,6,136.7,125.5,Apr-99,2
1999,5,14.2,6.4,1,164.3,135.6,May-99,2
1999,6,15.3,7.3,0,113.1,133.7,Jun-99,2
1999,7,18.9,10.1,0,69.5,159.1,Jul-99,3
1999,8,17.2,9.2,0,72.7,131.8,Aug-99,3
1999,9,16.6,8.9,0,138.2,110.1,Sep-99,3
1999,10,11.6,4.5,3,106.2,68.6,Oct-99,4
1999,11,8.7,2.5,8,205.6,57.7,Nov-99,4
1999,12,4.7,-1.2,17,274.2,39.2,Dec-99,4
2000,1,6,-0.4,19,180.1,65.9,Jan-00,1
2000,2,6.1,0.9,10,244.4,48.6,Feb-00,1
2000,3,8.8,2.5,8,108.4,80.9,Mar-00,1
2000,4,9.3,2,7,93.1,123.9,Apr-00,2
2000,5,15.1,4.5,3,72.4,235.9,May-00,2
2000,6,15.1,7.4,0,95.2,106.1,Jun-00,2
2000,7,17.7,8.7,0,74.8,173.2,Jul-00,3
2000,8,17.6,9.1,0,155.6,127.1,Aug-00,3
2000,9,15.3,8.8,0,185.2,79.4,Sep-00,3
2000,10,11.2,4.1,3,240.2,69.9,Oct-00,4
2000,11,7.2,1.7,5,211.2,36.8,Nov-00,4
2000,12,5.6,0.7,12,225.9,43.5,Dec-00,4
2001,1,4.2,-0.9,14,87.4,50.3,Jan-01,1
2001,2,5,-1.9,19,134.5,72.3,Feb-01,1
2001,3,5.6,-2,17,69.8,107.1,Mar-01,1
2001,4,9,1.6,10,93.3,114.6,Apr-01,2
2001,5,16.2,4.7,3,35,236.8,May-01,2
2001,6,14.5,7.5,0,93.8,104.8,Jun-01,2
2001,7,17.8,9.9,0,93.8,130.9,Jul-01,3
2001,8,17.5,8.3,0,131.8,123.7,Aug-01,3
2001,9,14.3,7.7,0,121.8,89.4,Sep-01,3
2001,10,13.4,8.7,0,254.4,45.9,Oct-01,4
2001,11,8.8,2.4,10,137.3,41.2,Nov-01,4
2001,12,5.4,-1.5,22,86.5,66.6,Dec-01,4
2002,1,6.6,0.8,9,262.6,28,Jan-02,1
2002,2,6.9,1.1,7,335.5,47.1,Feb-02,1
2002,3,9.2,1.1,11,137.7,98.1,Mar-02,1
2002,4,11.5,2.3,11,124.5,131.8,Apr-02,2
2002,5,13.3,6,2,172,114.9,May-02,2
2002,6,15.1,8.6,0,189.8,118.5,Jun-02,2
2002,7,16.5,9,0,109.8,99.4,Jul-02,3
2002,8,18.8,10.7,0,129.5,134.1,Aug-02,3
2002,9,16.3,7.1,0,60.8,120.9,Sep-02,3
2002,10,10.6,2.8,7,230.8,84.9,Oct-02,4
2002,11,8.6,2.8,5,197.2,41.5,Nov-02,4
2002,12,5.2,1.6,5,129.2,31.7,Dec-02,4
2003,1,5,-0.1,14,164,61.7,Jan-03,1
2003,2,6.1,-2,18,68.9,105.1,Feb-03,1
2003,3,10.4,0.4,14,109.6,164.1,Mar-03,1
2003,4,13.2,3.3,6,65.8,189.1,Apr-03,2
2003,5,13.3,5.6,2,127.6,139.1,May-03,2
2003,6,17.6,8.8,0,57,181.3,Jun-03,2
2003,7,18.7,11.1,0,167.4,120.6,Jul-03,3
2003,8,19.8,10.2,0,33.6,205.6,Aug-03,3
2003,9,15.6,7.3,1,83.6,114.1,Sep-03,3
2003,10,10.8,2.8,8,62.6,124.5,Oct-03,4
2003,11,9.2,3.3,4,207.2,41.4,Nov-03,4
2003,12,5.9,-0.5,15,163.4,48.5,Dec-03,4
2004,1,5.4,0.4,12,226.4,29.3,Jan-04,1
2004,2,6.3,-0.2,15,118.8,95,Feb-04,1
2004,3,8,0.6,12,148,80.2,Mar-04,1
2004,4,10.8,3.8,3,155.6,97,Apr-04,2
2004,5,15.6,5.1,3,63.2,202.4,May-04,2
2004,6,16.7,8.8,0,130.4,109.2,Jun-04,2
2004,7,17.3,9.1,0,68.2,129.5,Jul-04,3
2004,8,18.8,11.4,0,309,147.7,Aug-04,3
2004,9,15.3,8.5,0,222.6,99.4,Sep-04,3
2004,10,10.9,5.1,0,227,65.8,Oct-04,4
2004,11,8.6,2.7,9,88.5,46.3,Nov-04,4
2004,12,6.6,1,11,177,43.3,Dec-04,4
2005,1,7.1,1.4,10,312,41.2,Jan-05,1
2005,2,5.4,0.5,15,126.8,83.5,Feb-05,1
2005,3,8.6,2.3,10,96.8,77.2,Mar-05,1
2005,4,10.8,2.8,5,123,150.7,Apr-05,2
2005,5,12.7,4.4,6,169.6,185.1,May-05,2
2005,6,16.6,8.7,0,91.6,133.1,Jun-05,2
2005,7,18.5,9.6,0,56.4,146.2,Jul-05,3
2005,8,17.8,8.7,0,125,170,Aug-05,3
2005,9,15.8,8.2,2,135.2,114.4,Sep-05,3
2005,10,12.6,7.1,1,291.8,36.5,Oct-05,4
2005,11,7.2,0.4,15,140.7,67.5,Nov-05,4
2005,12,5.9,-0.7,17,76.9,42.4,Dec-05,4
2006,1,5.2,0.2,11,128.6,29.8#,Jan-06,1
2006,2,5.6,-0.1,12,100.2,66.7#,Feb-06,1
2006,3,5.3,-1,18,184,74.9#,Mar-06,1
2006,4,10.4,1.7,9,117.3,157.7#,Apr-06,2
2006,5,14,4.5,5,113.6,166.1#,May-06,2
2006,6,18.1,8.3,0,65.6,184.2#,Jun-06,2
2006,7,22.1,11,0,81,233.9#,Jul-06,3
2006,8,17.7,9.3,0,76.2,117.7#,Aug-06,3
2006,9,17.5,9.9,0,181.6,109.1#,Sep-06,3
2006,10,13.7,6.9,1,159.2,54.8#,Oct-06,4
2006,11,8.9,2.9,6,285,45.3#,Nov-06,4
2006,12,6.5,1.6,10,331.4,32.2#,Dec-06,4
2007,1,7.4,1.7,8,286.9,40.3#,Jan-07,1
2007,2,7,0.3,12,125.2,64.3#,Feb-07,1
2007,3,8.7,1.4,10,137,103.1#,Mar-07,1
2007,4,14.1,3.8,5,40,193.1#,Apr-07,2
2007,5,13.4,5.2,2,146.7,153.4#,May-07,2
2007,6,16.9,8.8,0,137.6,107.3#,Jun-07,2
2007,7,17.2,9,0,168.2,114.5#,Jul-07,3
2007,8,17.4,8.8,0,124.8,123.0#,Aug-07,3
2007,9,15.7,6.4,1,107.6,116.3#,Sep-07,3
2007,10,13.2,4.6,3,69.6,97.1#,Oct-07,4
2007,11,9,2.4,6,124.6,43.2#,Nov-07,4
2007,12,5.7,-0.5,13,197.6,39.1#,Dec-07,4
2008,1,6.1,1.5,10,338,11.8#,Jan-08,1
2008,2,8.2,-0.4,17,183.4,75.6#,Feb-08,1
2008,3,7.3,0.4,11,180.6,89.1#,Mar-08,1
2008,4,9.7,1.9,12,74.1,95.5#,Apr-08,2
2008,5,16.4,6.6,2,17.6,167.4#,May-08,2
2008,6,16.3,7.3,0,166.8,114.4#,Jun-08,2
2008,7,18.7,10.7,0,149.5,127.7#,Jul-08,3
2008,8,17,11,0,224.6,48.5#,Aug-08,3
2008,9,14.4,7.6,0,124,48.8#,Sep-08,3
2008,10,10.6,3.5,7,351.8,69.8#,Oct-08,4
2008,11,7.5,2.5,6,125,54.2#,Nov-08,4
2008,12,4.8,-1.7,20,152.7,50.6#,Dec-08,4
2009,1,4.3,-1,20,248,29.0#,Jan-09,1
2009,2,5.4,-0.7,16,65.6,42.5#,Feb-09,1
2009,3,8.3,1.1,9,138,87.7#,Mar-09,1
2009,4,12.6,3.1,6,80.8,116.2#,Apr-09,2
2009,5,14.2,5.1,0,157.2,164.5#,May-09,2
2009,6,18.1,8.2,0,79.8,134.4#,Jun-09,2
2009,7,18.4,10.1,0,235.1,93.6#,Jul-09,3
2009,8,17.5,10.5,0,393,89.6#,Aug-09,3
2009,9,15.6,8.1,1,91.2,81.5#,Sep-09,3
2009,10,12.5,5.1,4,146.6,64.8#,Oct-09,4
2009,11,8.2,3.1,4,431.6,28.2#,Nov-09,4
2009,12,3.3,-2.8,23,112,31.2#,Dec-09,4
2010,1,2.2,-3.7,22,71.3,58.9#,Jan-10,1
2010,2,3.8,-3,23,48.8,52.3#,Feb-10,1
2010,3,7.9,-0.6,16,150.2,73.1#,Mar-10,1
2010,4,11.7,1.6,8,74.6,135.1#,Apr-10,2
2010,5,13.6,3.4,7,36.6,142.5#,May-10,2
2010,6,18.7,8,0,32.8,140.4#,Jun-10,2
2010,7,17,10,0,249,68.6#,Jul-10,3
2010,8,17.5,8.4,0,95.8,114.6#,Aug-10,3
2010,9,15.9,7.8,1,151.6,96.9#,Sep-10,3
2010,10,11.5,4.5,5,108.6,74.7#,Oct-10,4
2010,11,5.6,0,16,201.4,64.0#,Nov-10,4
2010,12,1.4,-6.8,27,61.5,66.3#,Dec-10,4
2011,1,4.4,-2,21,205.4,48.5#,Jan-11,1
2011,2,6.6,1.2,6,266.1,37.2#,Feb-11,1
2011,3,8.2,-0.2,13,124.3,70.3#,Mar-11,1
2011,4,14.7,4.3,3,101.4,197.8#,Apr-11,2
2011,5,13.4,5.5,3,224,120.3#,May-11,2
2011,6,15.3,7,0,116,92.9#,Jun-11,2
2011,7,18.3,7.4,0,134.8,160.8#,Jul-11,3
2011,8,16.2,8.9,0,150.8,71.8#,Aug-11,3
2011,9,15.2,8.3,0,236,72.0#,Sep-11,3
2011,10,12.4,6.8,2,249.6,29.7#,Oct-11,4
2011,11,10.5,4.3,4,212.4,45.9#,Nov-11,4
2011,12,6,0.4,12,268.8,16.8#,Dec-11,4
2012,1,5.9,0,11,164,43.6#,Jan-12,1
2012,2,6,0.4,13,101.8,50.6#,Feb-12,1
2012,3,11.6,2,11,58.2,128.6#,Mar-12,1
2012,4,9.2,1.1,8,95.2,81.8#,Apr-12,2
2012,5,14.5,4.3,6,82.2,183.4#,May-12,2
2012,6,14.4,7.3,0,245.6,57.8#,Jun-12,2
2012,7,16.1,9.1,0,203,60.0#,Jul-12,3
2012,8,18,9.9,1,202.4,112.6#,Aug-12,3
2012,9,14,6.8,2,169.4,91.2#,Sep-12,3
2012,10,10.2,2.3,11,190.6,83.2#,Oct-12,4
2012,11,7.2,1.7,11,239.2,44.3#,Nov-12,4
2012,12,5.1,-0.4,15,243.6,36.6#,Dec-12,4
2013,1,4.4,0.2,18,189.7,17.6#,Jan-13,1
2013,2,5.1,-1.3,20,98.2,84.8#,Feb-13,1
2013,3,3.9,-2.3,24,56.1,63.8#,Mar-13,1
2013,4,8.9,1.1,11,165.4,99.5#,Apr-13,2
2013,5,13.1,3.9,7,119.4,119.0#,May-13,2
2013,6,16.9,7,0,82.2,126.9#,Jun-13,2
2013,7,21.4,11.1,0,134.4,185.4#,Jul-13,3
2013,8,17.8,10.1,0,102,73.8#,Aug-13,3
2013,9,14.9,7.6,0,117.8,67.1#,Sep-13,3
2013,10,12.6,7.7,0,242.8,40.6#,Oct-13,4
2013,11,7.4,-0.4,15,96.8,67.1#,Nov-13,4
2013,12,7.5,1.9,7,390.4,18.5#,Dec-13,4
2014,1,5.7,1.5,5,239.4,10.9#,Jan-14,1
2014,2,5.8,1,9,301.5,15.8#,Feb-14,1
2014,3,8.7,1.8,12,187.2,85.4#,Mar-14,1
2014,4,12,4.3,4,121.4,109.0#,Apr-14,2
2014,5,13.9,6.2,1,117.2,80.5#,May-14,2
2014,6,17.8,9,0,60.8,109.0#,Jun-14,2
2014,7,20,9.1,0,101.4,178.6#,Jul-14,3
2014,8,16.5,8.3,0,138,121.0#,Aug-14,3
2014,9,17,7.6,0,16,91.1#,Sep-14,3
2014,10,12.4,5.7,4,315.2,46.0#,Oct-14,4
2014,11,9,3.6,2,156,36.0#,Nov-14,4
2014,12,5.6,-0.5,13,248.8,31.3#,Dec-14,4
2015,1,5,-0.6,14,351.7,37.0#,Jan-15,1
2015,2,5.5,-1.3,15,154.4,71.0#,Feb-15,1
2015,3,7.4,0.4,13,193.6,74.1#,Mar-15,1
2015,4,11.8,0.2,12,71.2,185.8#,Apr-15,2
2015,5,11.9,3.9,4,167.6,121.7#,May-15,2
2015,6,15.7,6.9,1,101.8,105.5#,Jun-15,2
2015,7,16.5,8.5,0,187.7,81.5#,Jul-15,3
2015,8,17,8.8,0,122,104.6#,Aug-15,3
2015,9,15.7,4.9,0,49.3,79.0#,Sep-15,3
2015,10,12.7,4.3,2,98.6,79.2#,Oct-15,4
2015,11,9.4,4,3,385,23.4#,Nov-15,4
2015,12,8.6,2.9,6,568.8,9.1#,Dec-15,4
2016,1,5.3,0.8,14,358.6,16.2#,Jan-16,1
2016,2,5.4,-1.2,16,207.8,64.7#,Feb-16,1
2016,3,8.1,0.5,11,110.4,80.0#,Mar-16,1
2016,4,9.2,0.9,11,102.4,127.7#,Apr-16,2
2016,5,14.7,5.3,3,82.8,153.2#,May-16,2
2016,6,17.6,8.6,0,94.2,126.9#,Jun-16,2
2016,7,17.1,9.5,0,154.2,81.1#,Jul-16,3
2016,8,17.7,9.8,0,118.8,118.5#,Aug-16,3
2016,9,16.1,9.3,0,187.8,61.2#,Sep-16,3
2016,10,12.1,4.9,0,46.4,75.1#,Oct-16,4
2016,11,6.4,-1.3,19,96.4,71.4#,Nov-16,4
2016,12,7.9,2.8,6,131.8,20.7#,Dec-16,4
2017,1,5.9,-0.5,19,84.8,60.8#,Jan-17,1
2017,2,6.4,1.7,7,187.2,30.3*,Feb-17,1
2017,3,9.6,1.9,7,243.8,103.7,Mar-17,1
2017,4,11.1,2.1,11,31.6,149.9,Apr-17,2
2017,5,16,6.2,1,102.8,200.9,May-17,2
2017,6,16.4,9.3,0,183,121.9,Jun-17,2
2017,7,17.1,9.6,0,138,113.9,Jul-17,3
2017,8,16.6,9.1,0,178,110.3*,Aug-17,3
2017,9,14.6,7.7,0,155.4,70.9#,Sep-17,3
2017,10,12.9,6.5,3,202.4,43.6#,Oct-17,4
2017,11,7.2,0.1,20,122.4,73.8#,Nov-17,4
2017,12,5.7,-0.8,18,143.1,50.9#,Dec-17,4
2018,1,4.6,-0.1,15,262.8,27.7#,Jan-18,1
2018,2,4.5,-2.2,22,98.1,80.3#,Feb-18,1
2018,3,5.4,-0.9,17,115.2,66.0#,Mar-18,1
2018,4,10.1,3.5,3,137.8,84.2#,Apr-18,2
2018,5,16.3,5.2,2,64.6,198.8#,May-18,2
2018,6,19.7,7.9,0,115.4,214.8#,Jun-18,2
2018,7,20.7,9.9,0,76.8,157.8#,Jul-18,3
2018,8,17.1,9.4,0,173.4,84.7#,Aug-18,3
2018,9,14.4,6.2,3,179.8,72.1#,Sep-18,3
2018,10,11.9,4,8,135.2,81.1#,Oct-18,4
2018,11,8.8,3.9,4,251.6,36.6#,Nov-18,4
2018,12,7,1.4,10,156,28.4#,Dec-18,4
2019,1,5.3,-1.3,18,65.2,67.2#  Provisional,Jan-19,1
2019,2,8.6,0.1,15,162.4,86.3*  Provisional,Feb-19,1
2019,3,8.4,2.4,6,263,57.9#  Provisional,Mar-19,1
2019,4,12.5,2.1,6,54.8,158.6#  Provisional,Apr-19,2
2019,5,13.9,3.5,7,78.6,169.9#  Provisional,May-19,2
2019,6,16.2,7.7,0,111,132.2#  Provisional,Jun-19,2
2019,7,19.5,10.9,0,134.8,105.6#  Provisional,Jul-19,3
2019,8,18.2,11,0,225.2,98.3#  Provisional,Aug-19,3
2019,9,15.5,7.3,0,188.6,97.0#  Provisional,Sep-19,3
2019,10,10.6,3.9,6,117.6,80.4#  Provisional,Oct-19,4
2019,11,6.7,0.9,11,114.4,53.3#  Provisional,Nov-19,4
2019,12,6.5,1.7,7,182.6,26.5#  Provisional,Dec-19,4
2020,1,6.8,1.9,7,292.3,13.8#  Provisional,Jan-20,1
2020,2,6,0.5,10,418,59.1*  Provisional,Feb-20,1
2020,3,8.1,0.3,10,149.6,72.6#  Provisional,Mar-20,1
2020,4,13.3,2,6,20.6,192.0#  Provisional,Apr-20,2
2020,5,15.4,4.1,8,61.2,200.2#  Provisional,May-20,2
2020,6,17.2,8.9,0,209.8,109.8#  Provisional,Jun-20,2